Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
ADHD,an Associate,San Diego State University,Big Law,a year,ADHD in big law. Late 20s I decided to seek help and was properly diagnosed and offered medication. Did you find going down the medication path significantly curbed your wayward focus and poor attention?,6.0,30.0,3.0,2024-09-17 21:39:26,https://www.fishbowlapp.com/post/adhd-in-big-law-late-20s-i-decided-to-seek-help-and-was-properly-diagnosed-and-offered-medication-did-you-find-going-down,27
ADHD,an Assurance Intern,San Diego State University,Accounting,6 months,"I seem to have trouble concentrating at work at lot recently. I am usually able to refocus after a 5-10 minute break but my ADHD is driving me up the walls lately. I have always hit my deadlines and haven't had any negative feedback yet.

I just feel like once I go full-time things will get much harder for me. Any advice from accountants with ADHD and how you deal with your problems?",9.0,26.0,5.0,2024-09-17 21:39:51,https://www.fishbowlapp.com/post/i-seem-to-have-trouble-concentrating-at-work-at-lot-recently-i-am-usually-able-to-refocus-after-a-5-10-minute-break-but-my-adhd,28
ADHD,a Manager,San Diego State University,ADHD Professionals,7 months,🐠 What books have been the most helpful for you in understanding/coping with your ADHD? I’ll start: “The ADHD Effect on Marriage”,13.0,26.0,5.0,2024-09-17 21:40:16,https://www.fishbowlapp.com/post/what-books-have-been-the-most-helpful-for-you-in-understandingcoping-with-your-adhd-ill-start-the-adhd-effect-on,29
ADHD,a Planning Director,San Diego State University,Advertising,7 months,"The more I advance in my career the more I have difficulties in focusing, managing people, deadlines and all the curve balls we are sent day in day out. I know this is impacting my performance. After going down a rabbit hole of google searches, looking at how I was as a kid and some feedback I get, it seems (on paper) that I may have ADHD.

While this may sound like finding an excuse, I was curious if other people in this community has gone through something similar. (More in comments)",15.0,24.0,2.0,2024-09-17 21:40:47,https://www.fishbowlapp.com/post/the-more-i-advance-in-my-career-the-more-i-have-difficulties-in-focusing-managing-people-deadlines-and-all-the-curve-balls-we,30
ADHD,an Associate,San Diego State University,Healthcare,8d,I was just diagnosed with ADHD and am now working on how to best manage it at work now that I understand my challenges better. Is this something I should tell my manager? Why or why not?,7.0,22.0,1.0,2024-09-17 21:41:12,https://www.fishbowlapp.com/post/i-was-just-diagnosed-with-adhd-and-am-now-working-on-how-to-best-manage-it-at-work-now-that-i-understand-my-challenges-better-is,31
ADHD,an Analyst,San Diego State University,Staying Healthy,9 months,"I am considering medication for my ADHD, I am meeting with a psychiatrist. I have been diagnosed years ago but I don’t expect them to just hand me medication without testing or confirming a medication. Anyone been through this process? What can I expect?",3.0,42.0,,2024-09-17 21:41:37,https://www.fishbowlapp.com/post/i-am-considering-medication-for-my-adhd-i-am-meeting-with-a-psychiatrist-i-have-been-diagnosed-years-ago-but-i-dont-expect,32
ADHD,an Accounts Receivable Manager 1,San Diego State University,Accounting,a month,"For those with ADD/ADHD - how did you study for the CPA exams? Even with adderall, my mind tends to be elsewhere and I can’t sit still to watch the videos or process and retain the info. What would be the way to study and retain the material?",7.0,29.0,5.0,2024-09-17 21:42:34,https://www.fishbowlapp.com/post/for-those-with-addadhd-how-did-you-study-for-the-cpa-exams-even-with-adderall-my-mind-tends-to-be-elsewhere-and-i-cant-sit-still,33
ADHD,a Collections Specialist,San Diego State University,ADHD Professionals,9 months,"i really can’t believe after all the progress we’ve made in other areas that carry a negative stigma against people who have a problem that ADHD still requires those of us who suffer daily from it, to defend ourselves against attacks that we are faking or drug seeking or whatever they decide to dig out. it makes me feel so much worse than i would if i had bi polar or something acceptable to the uneducated masses.",23.0,14.0,3.0,2024-09-17 21:43:06,https://www.fishbowlapp.com/post/i-really-cant-believe-after-all-the-progress-weve-made-in-other-areas-that-carry-a-negative-stigma-against-people-who-have,34
ADHD,a Manager,San Diego State University,Depression/Anxiety Talk,8 months,"I’ve been at my job for 4 months. The company culture is great, however I don’t feel smart enough for this role, and it’s causing me to have anxiety. I’m in my 40s and I managed to get a well paying job with only a HS diploma. I find myself comparing myself to my co workers who seem to easily generate ideas and it’s eating me alive. I have ADHD so I find myself googling on not being smart enough for my job when I should be working. I’m desperate to not feel this way. Can anyone relate?",12.0,28.0,4.0,2024-09-17 21:43:19,https://www.fishbowlapp.com/post/ive-been-at-my-job-for-4-months-the-company-culture-is-great-however-i-dont-feel-smart-enough-for-this-role-and-its-causing,35
ADHD,a Senior Analyst 1,San Diego State University,Consulting,4 months,"I think I’m on the verge of quitting my job. Its been 6 months at KPMG, but the recent project is driving me nuts. The system here seems quite bad. I feel like I did not get sufficient training and been forced to reach out and take up a project I was not comfortable with just to get my utilization up. I also feel like I’ve developed severe ADHD and have a really hard time focusing. It’s my first job, what should I do?",14.0,20.0,2.0,2024-09-17 21:43:49,https://www.fishbowlapp.com/post/i-think-im-on-the-verge-of-quitting-my-job-its-been-6-months-at-kpmg-but-the-recent-project-is-driving-me-nuts-the-system-here,36
ADHD,a Senior Legal Counsel,San Diego State University,Lawyers with ADHD,3 months,"Hi fellow ADHD lawyers,

I recently received my performance review and while I had some successes, like developing a comprehensive memo, my manager highlighted some areas I really need to improve in:

I'm struggling to find the right balance of precision vs efficiency and when to dive into details vs prioritizing delivery. My ADHD brain wants to overanalyze everything! Worst part is that I really like being an attorney.

I've tried implementing some tools and strategies, like: (continue)",17.0,9.0,8.0,2024-09-17 21:44:15,https://www.fishbowlapp.com/post/hi-fellow-adhd-lawyers-i-recently-received-my-performance-review-and-while-i-had-some-successes-like-developing-a-comprehensive,37
ADHD,a Senior Accountant,San Diego State University,ADHD Professionals,9 months,How do other ADHD folks feel about grocery shopping? I feel like it takes me so much longer than it should and feels way more stressful than a mundane recurring task should. Is it just me?,9.0,23.0,1.0,2024-09-17 21:44:34,https://www.fishbowlapp.com/post/how-do-other-adhd-folks-feel-about-grocery-shopping-i-feel-like-it-takes-me-so-much-longer-than-it-should-and-feels-way-more,38
ADHD,an Engagement Manager 1,San Diego State University,Consulting,6 months,"Tips for successfully working with severe ADHD
1) Go into the office every single day (if you need quiet book an office, if you benefit from feeling like you're being watched book an open space)
2) Leave your phone in your car
3) Break projects into smaller parts
4) Give each part a deadline, put that deadline for that part in your calendar and confirm the deadline for each part with your mgr via email so it's more concrete than telling them
5) Take a break to walk every few hours",24.0,27.0,8.0,2024-09-17 21:44:53,https://www.fishbowlapp.com/post/tips-for-successfully-working-with-severe-adhd1-go-into-the-office-every-single-day-if-you-need-quiet-book-an-office-if-you,39
ADHD,a Consultant,San Diego State University,ADHD Professionals,8 months,"I was diagnosed with ADHD as a kid, but my parents disagreed with medicine to treat it. Now, as an adult, my symptoms are out of control, and its starting to effect my parenting and businesses. I'm scared of the effects if I start to take medication. Has anyone started taking medicine as an adult and had good results or any words of encouragement? :-(",9.0,20.0,,2024-09-17 21:45:33,https://www.fishbowlapp.com/post/i-was-diagnosed-with-adhd-as-a-kid-but-my-parents-disagreed-with-medicine-to-treat-it-now-as-an-adult-my-symptoms-are-out-of,40
ADHD,a Senior Associate,San Diego State University,ADHD Professionals,10 months,"Prescribed Ridalin for ADHD. In two months, my blood pressure skyrocketed to 185/127 from 90/60. My PCP caught it in my checkup and told me I was in the danger zone for a heart attack. Was going to happen any day now. Stopped taking Ritalin and switched to non-stimulant ADHD medication, and it returned to 90/60 in 4 weeks.

Please be careful taking stimulant ADHD medication. 🙏🏾Stay safe and healthy all. 🙏🏾",19.0,24.0,2.0,2024-09-17 21:46:02,https://www.fishbowlapp.com/post/prescribed-ridalin-for-adhd-in-two-months-my-blood-pressure-skyrocketed-to-185127-from-9060-my-pcp-caught-it-in-my-checkup-and-told,41
ADHD,a Freelance Creative Copywriter,San Diego State University,Advertising,6 months,"Has anyone that works in advertising asked for accommodations for ADHD?

I am diagnosed and trying to manage but the non-stop zoom meetings, constant interruptions for 'collaboration', and not comprehending/retaining anything if it's not in written form (including meetings) — is a real struggle.

Ideas and/or suggestions?",9.0,18.0,2.0,2024-09-17 21:46:22,https://www.fishbowlapp.com/post/has-anyone-that-works-in-advertising-asked-for-accommodations-for-adhd-i-am-diagnosed-and-trying-to-manage-but-the-non,42
ADHD,a Staff Accountant,San Diego State University,ADHD Professionals,9 months,Okay I have a question: do you tell your employer you have ADHD? And if you do has it helped make your job easier?,4.0,21.0,1.0,2024-09-17 21:46:51,https://www.fishbowlapp.com/post/okay-i-have-a-question-do-you-tell-your-employer-you-have-adhd-and-if-you-do-has-it-helped-make-your-job-easier,43
ADHD,a Vice President,San Diego State University,ADHD Professionals,6 months,"I am supposed to start Strattera this week after getting off Wellbutrin (was making me too relaxed and not wanting to do anything) and after Vyvanse didn’t work well (made me want to jump out of my skin and I never slept). I’m anxious type adhd.

Feel like I’ve seen people hate Strattera. Should I be scared???!

I’m in midst I job interviews so I haven’t taken yet. To get through those I’ve done 50mg of Wellbutrin and a beta blocker to keep me feeling slightly relaxed and not shaky.",7.0,24.0,2.0,2024-09-17 21:47:15,https://www.fishbowlapp.com/post/i-am-supposed-to-start-strattera-this-week-after-getting-off-wellbutrin-was-making-me-too-relaxed-and-not-wanting-to-do-anything,44
ADHD,an Analyst,San Diego State University,ADHD Professionals,5 months,"Does going to the gym/ exercise help you manage your adhd? How often do you go, and what do you do?",9.0,17.0,4.0,2024-09-17 21:47:34,https://www.fishbowlapp.com/post/does-going-to-the-gym-exercise-help-you-manage-your-adhd-how-often-do-you-go-and-what-do-you-do,45
ADHD,an Associate,San Diego State University,Healthcare,8 months,Does anyone here have ADHD? I am looking for tips to help manage work.,10.0,27.0,1.0,2024-09-17 21:47:48,https://www.fishbowlapp.com/post/does-anyone-here-have-adhd-i-am-looking-for-tips-to-help-manage-work,46
ADHD,"an Associate Manager, Recruiting",San Diego State University,ADHD Professionals,8 months,Where is a place that someone with ADHD can work well? Either remote in the US or close to Cincinnati would be good. Need help finding a new job. Thanks,9.0,8.0,,2024-09-17 21:48:13,https://www.fishbowlapp.com/post/where-is-a-place-that-someone-with-adhd-can-work-well-either-remote-in-the-us-or-close-to-cincinnati-would-be-good-need-help,47
ADHD,an Associate Consultant,San Diego State University,ADHD Professionals,9 months,"I suspect I have ADHD, but I have never seen someone for it / I have never been medicated. Graduated from a top school with a 3.9. Got 3 consulting offers out of college… but I feel like I have been burnt out since junior year of high school (7-8 years ago) and that this would go away if I went on a 3-month vacation. I have just never had time to properly rest and settle and take care of very basic things - and the crazy part is that nobody even has the slightest idea that I am like this…",7.0,24.0,1.0,2024-09-17 21:48:41,https://www.fishbowlapp.com/post/i-suspect-i-have-adhd-but-i-have-never-seen-someone-for-it-i-have-never-been-medicated-graduated-from-a-top-school-with-a-3-9-got,48
ADHD,an Associate,San Diego State University,Confession,4 months,"Someone please just tell me the truth -

Is it really worth it to talk to a therapist?
Issues: childhood trauma; parents/siblings, lack of purpose, depression, aggression, adhd, abandonment, fear of rejection, insomnia, delusional.

And does any of the medication actually help?",6.0,23.0,,2024-09-17 21:49:21,https://www.fishbowlapp.com/post/someone-please-just-tell-me-the-truth-is-it-really-worth-it-to-talk-to-a-therapist-issues-childhood-trauma-parentssiblings-lack-of,49
ADHD,a Senior Android Engineer,San Diego State University,ADHD Professionals,3 months,"All of my life I've thought I had ADHD because of how I am, but neuropsych just told me I have anxiety that manifests as ADHD.

I'm still trying to wrap my head around this.. about WHY I can't focus then..

If I'm having a conversation, and a person pulls into the driveway, I completely forget what I'm talking about. If I am thinking about something, and someone says something to me, I have to ask them to say it again because I was in a different place, then when they do, [continued in comments]",4.0,18.0,3.0,2024-09-17 21:49:44,https://www.fishbowlapp.com/post/all-of-my-life-ive-thought-i-had-adhd-because-of-how-i-am-but-neuropsych-just-told-me-i-have-anxiety-that-manifests-as-adhd-im,50
ADHD,a Product Manager,San Diego State University,Confession,2 months,Everyone and their mother has “adult adhd” now. This is a ploy to get Adderall right?,15.0,29.0,,2024-09-17 21:50:03,https://www.fishbowlapp.com/post/everyone-and-their-mother-has-adult-adhd-now-this-is-a-ploy-to-get-adderall-right,51
ADHD,a Director,San Diego State University,ADHD Professionals,6 months,"My boss keeps joking about how he has ADHD every time he forgets stuff. I find it somewhat triggering, do you feel like I should say something or am I being too sensitive?",10.0,16.0,,2024-09-17 21:50:53,https://www.fishbowlapp.com/post/my-boss-keeps-joking-about-how-he-has-adhd-every-time-he-forgets-stuff-i-find-it-somewhat-triggering-do-you-feel-like-i-should-say,52
ADHD,an Analyst,San Diego State University,ADHD Professionals,a year,Got put on a 30 day coaching plan at American Express / Amex . Is this the same as PIP? Will I get fired in 30 days if things don’t improve? I have ADHD & have been struggling to perform at the potential I know I can. My manager puts me down a lot and makes me feel dumb. I’m feeling very disheartened and low about myself. Should I start looking elsewhere ? What should I do? Has anyone gotten a coaching plan at American Express before ? PLS HELP,3.0,12.0,2.0,2024-09-17 21:51:27,https://www.fishbowlapp.com/post/got-put-on-a-30-day-coaching-plan-at-american-express-amex-is-this-the-same-as-pip-will-i-get-fired-in-30-days-if-things-dont-improve-zsj6-5,53
ADHD,an Account Executive,San Diego State University,ADHD Professionals,5 months,"👉🏼 Post your ADHD productivity, workplace, and time management hacks here - let’s make a master thread ‼️ 👈🏼",13.0,13.0,5.0,2024-09-17 21:51:46,https://www.fishbowlapp.com/post/post-your-adhd-productivity-workplace-and-time-management-hacks-here,54
ADHD,a Designer,San Diego State University,Designers,a year,"Hey guys. I've been working with a SAAS company as a Designer for 2.5 years. Today I missed a slack message from my manager, because I put my computer on do not disturb to focus. I have ADHD and it is a coping mechanism to help me not be distracted. Manager says he needs to meet with me to discuss this as he needs to trust me to be available when I'm online. This has only happened twice including this time in 2.5 years.. How should I make my case, should I be scared? My anxiety is at its peak.",4.0,28.0,3.0,2024-09-17 21:52:04,https://www.fishbowlapp.com/post/hey-guys-ive-been-working-with-a-saas-company-as-a-designer-for-2-5-years-today-i-missed-a-slack-message-from-my-manager-because-i,55
ADHD,an Associate,San Diego State University,Lawyers with ADHD,10 months,Life feels like it’s falling apart and I’m finally getting a script for adhd meds on Monday. I need to hear some stories about how meds helped you all. I’m kind of scared to go on them. Maybe some could also share how meds did not work but they found other pathways to success! Thanks.,8.0,24.0,2.0,2024-09-17 21:52:39,https://www.fishbowlapp.com/post/life-feels-like-its-falling-apart-and-im-finally-getting-a-script-for-adhd-meds-on-monday-i-need-to-hear-some-stories-about,56
ADHD,an Associate 1,San Diego State University,ADHD Professionals,4 months,What tools help you manage multiple projects especially with ADHD?,14.0,14.0,1.0,2024-09-17 21:53:04,https://www.fishbowlapp.com/post/what-tools-help-you-manage-multiple-projects-especially-with-adhd,57
ADHD,an Associate,San Diego State University,Confession,2 months,"Is it normal for your long term bf to occasionally check out women right in front of you? This is his first relationship, he’s 29 tho, and blamed it on ADHD when I pointed it out but he literally did a once over. Are my standards too high / do all men do this 😑",2.0,22.0,1.0,2024-09-17 21:53:22,https://www.fishbowlapp.com/post/is-it-normal-for-your-long-term-bf-to-occasionally-check-out-women-right-in-front-of-you-this-is-his-first-relationship-hes,58
