Neurodiversity	Posted By	Employer	Time Posted	Content	Reactions	Timestamp Collected	Post URL	Hierarchy	Post ID	Comment ID,Neurodiversity,Posted By,Employer,Time Posted,Content,Reactions,Timestamp Collected,Post URL,Hierarchy,Post ID,Comment ID
,Autism,Other,,a month,"I think you need to ask him why he’s sharing before telling him not to share. He may think it’s important for people to know since it may impact how he communicates or how he takes in information. It may be that he believes that his autism impacts the way he works and knowing might help others work better with him. At the end of the day, he is free to discuss his situation with whomever he chooses. Once you better understand why he’s as sharing this information, you will be in a better position to coach him. Under no circumstances is it appropriate for you to tell him not to share. That can get messy fast and would create exposure for your company. This needs to be handled with care. I’d consult with your internal counsel before having any conversation with the employee.","16
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,13.0,1.0,25.0
,Autism,Other,a Human Resources 2,a month,"To an extend of more context, I don't think its a bad thing for the employee to speak about their condition in some situations with customers if conversation allows, and or colleagues... Personally, I wouldn't advise the employee of who they choose to advise about the condition. Again, depending on the context of how the employee is telling the customer; might be a concern worth briefly mentioning in 1:1 sessions, but that would be the extent of limitations to the employee.","3
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,14.0,1.0,26.0
,Autism,Other,a Human Resources Manager 1,a month,What makes you so sure it’s AI?,"1
reactions",2024-09-19 20:28:25,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,15.0,1.0,27.0
,Autism,Other,a Human Resources Manager 1,a month,What makes you so sure it’s AI?,1,2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,28.0
,Autism,Other,a Human Resources Professional 1,a month,"If you have a phone ""script"" that these people are supposed to be following, you can counsel this person for not following that script provided you are applying the same standard consistently when others get off script.

With that being said, as an employer, you can ask why the employee feels it necessary to talk to customers about this information, but as others have said, during the conversation, you should ask if there is anything you could do to support the team member with their new diagnosis.",10,2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,29.0
,Autism,Other,a Human Resources Director 1,a month,sometimes doing nothing is a good action to take.,13,2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,30.0
,Autism,Author,Authora Human Resources Manager,a month,"Lol that’s been my take to this over the past two months since this first started to develop. Unfortunately, it’s a small company and this is now reaching the owner who has much less tact than I would rather, so I’d prefer to handle it than get smacked with a suit.","5
reactions",2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,31.0
,Autism,Author,Authora Human Resources Manager,a month,"Lol that’s been my take to this over the past two months since this first started to develop. Unfortunately, it’s a small company and this is now reaching the owner who has much less tact than I would rather, so I’d prefer to handle it than get smacked with a suit.",5,2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,32.0
,Autism,Author,a SR. Human Resources Manager 1,a month,I would wait until they came to HR as it seems they didn’t identify when they began work through ADA. Have the manager offer EPA.,4,2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,33.0
,Autism,Author,an Account Manager 1,a month,"Why would they be bringing this up, appearance over the phone? I would have them go to HR. It's not a fireable offense to be autistic but you don't have to explain to others that you are. My God, half the population is autistic and they bring a lot to the work place. Just talk to him/her.",1,2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,34.0
,Autism,Author,a Human Resources HR Coordinator 1,a month,I would seek neurodiversity training.,9,2024-09-19 20:28:26,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,35.0
,Autism,Other,a Talent Business Partner 1,a month,"Second this. The fact you’re describing it as “bringing it up at every opportunity” makes it clear to me you have no idea how to support neurodivergent folks. A lot of autistic folks have behavioral symptoms including inappropriate social interactions they don’t even realize are ‘inappropriate’, but I also don’t understand why them talking about their diagnosis is? If it’s making people uncomfortable that’s a THEM problem…honestly I would love to be a customer of a company who employs people from all backgrounds, but it’s clear from a lot of the folks here people who don’t fit your “normal box” are not acceptable.","5
reactions",2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,36.0
,Autism,Other,an Executive Director 1,a month,Excellent advice,,2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,3.0,1.0,37.0
,Autism,Author,Authora Human Resources Manager,a month,"Well, that is a step ahead of where we are, unless you mean for the entire org— that would be a thought. Otherwise, I would have to still have to speak with the EE first… it would seem discriminatory to offer that out of the blue when we’ve not discussed anything.",,2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,4.0,1.0,38.0
,Autism,Author,Authora Human Resources Manager,a month,"@Talent Business Partner 1
I appreciate your concern. I can assure you the org is indeed a small business operation so yes unfortunately I am in an uphill battle with bias on the daily. Also, I say “bringing up at every opportunity” because that’s what I was told by multiple people over the course of the two months this has been happening. I originally also thought “ok, perhaps this is an exciting development for EE” and brushed it off. Quite frankly, I still don’t think it’s a big deal but the CEO does and I’d prefer he doesn’t handle this situation.","1
reactions",2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,5.0,1.0,39.0
,Autism,Author,Authora Human Resources Manager,a month,"@Talent Business Partner 1
I appreciate your concern. I can assure you the org is indeed a small business operation so yes unfortunately I am in an uphill battle with bias on the daily. Also, I say “bringing up at every opportunity” because that’s what I was told by multiple people over the course of the two months this has been happening. I originally also thought “ok, perhaps this is an exciting development for EE” and brushed it off. Quite frankly, I still don’t think it’s a big deal but the CEO does and I’d prefer he doesn’t handle this situation.",1,2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,40.0
,Autism,Author,an Executive Director 1,a month,So what you're saying is your autistic employee is being autistic and you'd like them to stop that? 😂,6,2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,41.0
,Autism,Other,a Director 1,a month,"There is a way to have an appropriate conversation with the employee. I applaud this HR professional for asking this question because we can glean from one another and learn different strategies.

I had a similar conversation with an employee and encourage them to protect their HIPAA information. The employee was agreeable and understood this stance.","1
reactions",2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,42.0
,Autism,Other,an Executive Director 1,a month,"There is an argument to be made that disclosure would lead to better outcomes, if people know they're working/speaking w someone on the spectrum they will have different allowances for the interaction and might not get annoyed/frustrated with things they otherwise would have, and could positively impact brand perception that you provide opportunities and support for people openly on the spectrum","1
reactions",2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,3.0,1.0,43.0
,Autism,Other,a Recruitment Marketing and Strategic Sourcing Specialist 1,a month,"I'm auDHD (autistic and ADHD) & see no good reason the employee should be working his autism diagnosis into every customer interaction or conversation, ESPECIALLY at work. Frankly it's weird & the employee should stick to a word-by-word script if he can't control himself from working his autism status info every work conversation he has. 🙄",,2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,4.0,1.0,44.0
,Autism,Other,a Recruitment Marketing and Strategic Sourcing Specialist 1,a month,"I'm auDHD (autistic and ADHD) & see no good reason the employee should be working his autism diagnosis into every customer interaction or conversation, ESPECIALLY at work. Frankly it's weird & the employee should stick to a word-by-word script if he can't control himself from working his autism status info every work conversation he has. 🙄",,2024-09-19 20:28:27,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,45.0
,Autism,Other,Harmony Senior Services 1,a month,"As the employee said on a company phone in the commission of doing their job you can bring this up with the associate. You can address the content of the call and ask how it relates to their job. Also, you should have a policy in that allows you the right to review their actions while performing their job.",3,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,46.0
,Autism,Other,a Manager 1,a month,Agree with the very first comment. I would call the employee in and chat about it and offer support and any accommodations the employee needs. You have to be very careful with that sort of thing because like others mentioned it could result in a lawsuit.,1,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,47.0
,Autism,Other,a Human Resources Business Partner Hrbp 1,a month,"Unfortunately, your hands are tied. Until the employee formally comes to you and says to you that they are on the spectrum or that they have Autism, everything is speculation. What you can do however is express some concern about performance to the employee creating an opening to have the conversation with you.

I have three team members that are on the spectrum and none of them put it on their applications or said anything when being hired. It was not until we got them on the job, that different things started to surface. When I went to them individually, two of them stated that they were on the spectrum. The third has not and he is experiencing performance issues that can get them terminated.

While keeping detailed notes of the situation is important, it should be noted that you would keep detailed notes on any performance issue. You cannot notate or give any indicator of a person's disability in your notes.

You should consult legal if you have it available to make sure that you are in compliance.",,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,48.0
,Autism,Other,a Human Resources 1,a month,"I understand the delicate situation here and providing stellar customer service is important to a business. Regardless of this employees recent diagnosis, it appears that there are topics being brought up during customer service calls that have nothing to do with the business. Expectations should be made clear about how to address calls- it could be that time is being wasted, hence inefficiencies are occurring if personal life is being discussed on customer service calls. I would approach it as HR Manager 1 suggested: he should limit the cs support calls to helping the customer/work-related items as long as this standard is applied to everyone in that similar role. You can also prompt them if there is anything they need to be able to follow the process and support him from there.",2,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,49.0
,Autism,Other,a Talent Acquisition Specialist 1,a month,"Perhaps making a general mention when the opportunity presents itself (i.e., training sessions, dept. meetings, email blast) reminding everyone about conduct, policies, etc... Encouraging employees to keep customer calls and office communication professional and respectful in the workplace (or something to that effect) is a blanket disclaimer for future action. I'm a former HR director. Situations like this & so many more others is exactly why I decided to narrow my span of control and just recruit. My nerves were constantly frazzled by these tricky, frustrating and sometimes bait for a lawsuit behaviors. Good luck but also document everything!!",2,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,50.0
,Autism,Other,a Senior Human Resources Generalist/employee Relations Specialist 1,a month,I would make sure to have a discussion around the benefits of not sharing personal information with others outside of HR as there is no need for any of them to have that info.,1,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,51.0
,Autism,Other,,a month,"I would tell the employee that you would not bring it up normally but since they had been conversing with others including customers you wanted to address it. That should help you avoid any claim of violating his medical privacy. I would then ask if his physician has given him any restrictions you would need to evaluate for accommodation. If his answer is no, reiterate to him that you expect his work to be at standard and that you would appreciate it if he doesn't share medical information with customers since it may make them uncomfortable.
If he says he needs to be accommodated ask him for a letter from his physician stipulating his restrictions. After receiving the information as a company determine what accommodations you can provide. Remember, the physician doesn't tell you how to accommodate, just what restrictions he has, for instance, if he is easily distractable and the doctor suggests a private office, the doctor is defining the accommodation which is not their role. There are many other options to deal with ""distractions"" things like desk placement, noise-canceling headphones, moving him from a highly trafficked area, etc.
Hope this helps.",,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,52.0
,Autism,Other,a Talent Acquisition Consultant 1,a month,"Agree with everyone saying not to tell them that they can’t say it. Even if it’s outside of the “script,” unless any minor deviation is an issue and all EEs are held to it.

I’d take the approach of saying, “Please know that you don’t need to disclose anything personal about yourself, even if it’s to share context. Everyone’s communication style is different, and you don’t have to tell anyone the reason that you communicate a specific way.” They might be preemptively saying it because they don’t want to be misunderstood.",2,2024-09-19 20:28:28,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,53.0
,Autism,Other,a Human Resources Generalist 1,a month,Remove the disability part. Would you have a conversation with an employee if they were discussing personal issues with your customers. Like they are getting a divorce and their ex is being an ass. Or they have an issue with their parent child or boss. Most of us would. The thing to remember is 1 they have not asked for an accommodation. They do not have an accommodation in place. And the accommodation would not be something that would cause hardship to the business. Or change the essential functions of the position. Addressing a behavior that is frowned upon in the performance of the essential function will not get you in trouble. Remember ADA is a reasonable accommodation. Ask Jan is a website I use a lot when dealing with ADA questions.,1,2024-09-19 20:28:29,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,54.0
,Autism,Other,an Executive Director 1,a month,"Except that's the protected part. A gay person doesn't need to ask for any accommodation, but you can't tell them they have to hide or not mention it.","1
reactions",2024-09-19 20:28:29,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,2.0,1.0,55.0
,Autism,Other,an Executive Director 1,a month,"Except that's the protected part. A gay person doesn't need to ask for any accommodation, but you can't tell them they have to hide or not mention it.",1,2024-09-19 20:28:29,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,56.0
,Autism,Other,a Chief People Officer 1,a month,"""Human Resources Manager
21h

This particular EE handles a part of the scheduling and dispatch operations for the company. Unfortunately, the CEO also overheard this in a phone conversation and is worried that customers will view the company negatively (basically discriminate) due to the employee’s comment and take their business elsewhere. I have already assured the CEO of the likelihood a comment affecting any business operations or revenue but as I said in another comment, I want to of course support the EE but also notate the proper work behaviors/conversations."" I think there is an opportunity for the CEO and yourself to learn about the benefits of ensuring neurodiversity sits within your DE&I commitments to your organisation and team. As a Neurodiverse Chief People Officer, its important to ensure accommodations are made AND understanding the benefits/opportunities that neurodiverse employees can bring to the organisation,",1,2024-09-19 20:28:29,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0,1.0,57.0
,Autism,Other,a Manager 1,2 months,"If you enjoy your work, I would try to just reduce your hours as much as possible rather than quit. SAHM life is hard and isolating, and often a strange combination of busy and boring. I needed some mental work to keep me happy.

Otherwise, financially you’re golden.",23,2024-09-19 20:29:09,https://www.fishbowlapp.com/post/very-close-to-pull-the-trigger-to-take-2-3-years-off-to-be-a-sahm-wanted-to-see-the-thoughts-reasons1-have-2-kids-7-and-4-the-younger,1.0,2.0,58.0
,Autism,Other,Accenture 1,2 months,"If you can afford it in this economy, go for it ❤️",14,2024-09-19 20:29:09,https://www.fishbowlapp.com/post/very-close-to-pull-the-trigger-to-take-2-3-years-off-to-be-a-sahm-wanted-to-see-the-thoughts-reasons1-have-2-kids-7-and-4-the-younger,1.0,2.0,59.0
